"Bookings","","","","","","",""
"Booking ID","Item","Start Time","Start Date","# of Pax","Total","Net Revenue Collected","Affiliate"
"#132375615","BCNPENAM/PM","09:00am","2022-09-29","2","€199.98","€139.98","TripAdvisor Experiences/Viator - EUR"
"#120150808","BCNPENAM/PM","09:00am","2022-09-29","8","€695.92","€487.12","TripAdvisor Experiences/Viator - EUR"
"#116786646","BCNPENAM/PM","09:00am","2022-09-29","3","€260.97","€182.67","TripAdvisor Experiences/Viator - EUR"
"#141230214","BCNSKYAM/PM","09:30am","2022-09-29","3","€389.97","€296.37","GetYourGuide - EUR"
"#140423753","BCNSKYAM/PM","09:30am","2022-09-29","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#139278667","BCNSKYAM/PM","09:30am","2022-09-29","2","€259.98","€197.58","GetYourGuide - EUR"
"#130993240","BCNSKYAM/PM","09:30am","2022-09-29","2","€259.98","€194.98","Expedia.com - EUR"
"#124923610","BCNEBIAM/PM","10:00am","2022-09-29","4","€239.96","€0.00","Shore Excursions Group (EURO)"
"#141206302","PR-BCNGAUAM/PM","10:00am","2022-09-29","1","€640.00","€576.00","Hotel W Barcelona"
"#140423521","TM-BCNESPXX","10:00am","2022-09-29","1","€90.00","€76.50","Tours for You"
"#141205453","BCNALESA/PM","10:00am","2022-09-29","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#141145169","TM-BCNESPXX","10:00am","2022-09-29","1","€787.50","€787.50","Tailored Spain Pricing"
"#140627516","PR-BCNMOOIL","10:00am","2022-09-29","1","€990.00","€891.00","Hotel Monument"
"#141261601","BCNMOOIL","10:45am","2022-09-29","1","€84.99","€59.49","GetYourGuide - EUR"
"#141251519","BCNMOOIL","10:45am","2022-09-29","2","€149.98","€134.98","Hotel Nobu"
"#141251423","BCNMOOIL","10:45am","2022-09-29","2","€149.98","€134.98","Hotel Nobu"
"#141239067","BCNMOOIL","10:45am","2022-09-29","3","€224.97","€165.78","TripAdvisor Experiences/Viator - EUR"
"#141231812","BCNMOOIL","10:45am","2022-09-29","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#141113232","BCNMOOIL","10:45am","2022-09-29","2","€169.98","€118.98","GetYourGuide - EUR"
"#141093934","BCNMOOIL","10:45am","2022-09-29","2","€169.98","€118.98","GetYourGuide - EUR"
"#140737312","BCNMOOIL","10:45am","2022-09-29","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#140306453","BCNMOOIL","10:45am","2022-09-29","2","€169.98","€118.98","GetYourGuide - EUR"
"#139426163","BCNMOOIL","10:45am","2022-09-29","4","€299.96","€221.04","TripAdvisor Experiences/Viator - EUR"
"#133815354","BCNMOOIL","10:45am","2022-09-29","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#141208206","MADEBIAM/PM","11:00am","2022-09-29","2","€79.98","€63.98","Airbnb"
"#141137576","MADEBIAM/PM","11:00am","2022-09-29","2","€79.98","€59.98","GetYourGuide - EUR"
"#141097599","MADEBIAM/PM","11:00am","2022-09-29","2","€79.98","€58.94","TripAdvisor Experiences/Viator - EUR"
"#140925526","MADEBIAM/PM","11:00am","2022-09-29","2","€79.98","€58.94","TripAdvisor Experiences/Viator - EUR"
"#140803706","MADEBIAM/PM","11:00am","2022-09-29","1","€39.99","€29.47","TripAdvisor Experiences/Viator - EUR"
"#140788279","MADEBIAM/PM","11:00am","2022-09-29","3","€119.97","€88.41","TripAdvisor Experiences/Viator - EUR"
"#140050398","MADEBIAM/PM","11:00am","2022-09-29","2","€79.98","€58.94","TripAdvisor Experiences/Viator - EUR"
"#140897407","BCNHEL06","11:30am","2022-09-29","2","€189.98","€140.00","TripAdvisor Experiences/Viator - EUR"
"#140057096","BCNHEL06","11:30am","2022-09-29","2","€169.98","€143.98","GetYourGuide - EUR"
"#141197324","MADBITES","11:30am","2022-09-29","2","€149.98","€112.48","GetYourGuide - EUR"
"#138906565","MADBITES","11:30am","2022-09-29","7","€524.93","€393.68","GetYourGuide - EUR"
"#139557258","CORSPECIAL","06:00pm","2022-09-29","1","€0.00","€0.00",""
"#139511743","MADTAFLA","06:00pm","2022-09-29","1","€79.99","€63.99","Airbnb"
"#138921825","MADBITES","06:00pm","2022-09-29","13","€974.87","€731.12","GetYourGuide - EUR"
"#138409302","MADBITES","06:00pm","2022-09-29","2","€149.98","€112.48","GetYourGuide - EUR"
"#140558885","BCNBOFLA","06:00pm","2022-09-29","2","€169.98","€125.44","TripAdvisor Experiences/Viator - EUR"
"#140491963","BCNBOFLA","06:00pm","2022-09-29","5","€424.95","€313.60","TripAdvisor Experiences/Viator - EUR"
"#141214833","MADSEBAL","06:00am","2022-09-30","2","€479.98","€359.98","GetYourGuide - EUR"
"#141298409","BCNBALAM","06:45am","2022-09-30","2","€499.98","€374.98","Expedia.com - EUR"
"#140997191","BCNBALAM","06:45am","2022-09-30","2","€499.98","€374.98","GetYourGuide - EUR"
"#140997077","BCNBALAM","06:45am","2022-09-30","1","€249.99","€199.99","Airbnb"
"#141334102","MADTRESC","08:00am","2022-09-30","1","€119.99","€95.99","Airbnb"
"#141318608","MADTRESC","08:00am","2022-09-30","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#141296196","MADTRESC","08:00am","2022-09-30","4","€479.96","€353.72","TripAdvisor Experiences/Viator - EUR"
"#141092504","MADTRESC","08:00am","2022-09-30","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#141063505","MADTRESC","08:00am","2022-09-30","5","€599.95","€442.15","TripAdvisor Experiences/Viator - EUR"
"#140996977","MADTRESC","08:00am","2022-09-30","1","€119.99","€83.99","GetYourGuide - EUR"
"#140996251","MADTRESC","08:00am","2022-09-30","2","€239.98","€167.98","GetYourGuide - EUR"
"#139394688","MADTRESC","08:00am","2022-09-30","2","€239.98","€191.98","Airbnb"
"#137870896","MADTRESC","08:00am","2022-09-30","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#136531984","MADTRESC","08:00am","2022-09-30","1","€119.99","€89.99","Activities Bank (HotelBeds)"
"#135539728","MADTRESC","08:00am","2022-09-30","1","€119.99","€89.99","Activities Bank (HotelBeds)"
"#133710775","MADTRESC","08:00am","2022-09-30","2","€239.98","€191.98","Airbnb"
"#127368541","MADTRESC","08:00am","2022-09-30","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#124245805","MADTRESC","08:00am","2022-09-30","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#141221414","LISTRESC","08:00am","2022-09-30","1","€99.99","€73.69","TripAdvisor Experiences/Viator - EUR"
"#140895823","LISTRESC","08:00am","2022-09-30","2","€199.98","€149.98","GetYourGuide - EUR"
"#140439265","LISTRESC","08:00am","2022-09-30","2","€199.98","€149.98","GetYourGuide - EUR"
"#140204714","LISTRESC","08:00am","2022-09-30","2","€199.98","€149.98","GetYourGuide - EUR"
"#141202417","LISCOHOR","08:30am","2022-09-30","1","€89.99","€62.99","GetYourGuide - EUR"
"#140916681","LISCOHOR","08:30am","2022-09-30","2","€179.98","€143.98","Airbnb"
"#141338641","BCNMOHAM","08:30am","2022-09-30","4","€251.96","€151.16","TripAdvisor Experiences/Viator - EUR"
"#141301056","BCNMOHAM","08:30am","2022-09-30","1","€62.99","€37.79","TripAdvisor Experiences/Viator - EUR"
"#141299855","BCNMOHAM","08:30am","2022-09-30","2","€119.98","€77.98","GetYourGuide - EUR"
"#141262260","BCNMOHAM","08:30am","2022-09-30","2","€125.98","€75.58","TripAdvisor Experiences/Viator - EUR"
"#141198788","BCNMOHAM","08:30am","2022-09-30","2","€125.98","€75.58","TripAdvisor Experiences/Viator - EUR"
"#140607707","BCNMOHAM","08:30am","2022-09-30","3","€188.97","€113.37","TripAdvisor Experiences/Viator - EUR"
"#140211887","BCNMOHAM","08:30am","2022-09-30","5","€299.95","€194.95","GetYourGuide - EUR"
"#140149219","BCNMOHAM","08:30am","2022-09-30","2","€118.85","€115.94",""
"#137275540","BCNMOHAM","08:30am","2022-09-30","2","€119.98","€71.98","TripAdvisor Experiences/Viator - EUR"
"#126593650","BCNMOHAM","08:30am","2022-09-30","2","€119.98","€88.42","TripAdvisor Experiences/Viator - EUR"
"#141295592","LISEBIAM","09:00am","2022-09-30","4","€199.96","€139.96","GetYourGuide - EUR"
"#141295333","LISEBIAM","09:00am","2022-09-30","2","€99.98","€79.98","Airbnb"
"#132172751","LISEBIAM","09:00am","2022-09-30","2","€99.98","€79.98","Airbnb"
"#130946953","LISEBIAM","09:00am","2022-09-30","2","€99.98","€74.98","GetYourGuide - EUR"
"#141301796","LISWINES","09:00am","2022-09-30","1","€99.99","€73.29","TripAdvisor Experiences/Viator - EUR"
"#141203845","LISWINES","09:00am","2022-09-30","1","€99.99","€69.99","GetYourGuide - EUR"
"#141202987","LISWINES","09:00am","2022-09-30","2","€199.98","€139.98","GetYourGuide - EUR"
"#139987853","LISWINES","09:00am","2022-09-30","1","€99.99","€69.99","GetYourGuide - EUR"
"#141100942","BCNPENAM/PM","09:00am","2022-09-30","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#140998896","BCNPENAM/PM","09:00am","2022-09-30","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#140615895","BCNPENAM/PM","09:00am","2022-09-30","4","€439.96","€307.96","GetYourGuide - EUR"
"#140438980","BCNPENAM/PM","09:00am","2022-09-30","2","€219.98","€153.98","GetYourGuide - EUR"
"#139778296","BCNPENAM/PM","09:00am","2022-09-30","4","€399.96","€307.96","TripAdvisor Experiences/Viator - EUR"
"#139271024","BCNPENAM/PM","09:00am","2022-09-30","2","€219.98","€175.98","Airbnb"
"#141341101","MADTOWIN","09:00am","2022-09-30","3","€239.97","€167.97","TripAdvisor Experiences/Viator - EUR"
"#141298906","MADTOWIN","09:00am","2022-09-30","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#141197668","MADTOWIN","09:00am","2022-09-30","1","€79.99","€55.99","TripAdvisor Experiences/Viator - EUR"
"#141110268","MADTOWIN","09:00am","2022-09-30","2","€159.98","€115.18","TripAdvisor Experiences/Viator - EUR"
"#140475117","MADTOWIN","09:00am","2022-09-30","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#137067480","MADTOWIN","09:00am","2022-09-30","3","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#141113669","BCNSKYAM/PM","09:30am","2022-09-30","2","€259.98","€197.58","GetYourGuide - EUR"
"#139635953","BCNSKYAM/PM","09:30am","2022-09-30","2","€259.98","€197.58","GetYourGuide - EUR"
"#138779144","BCNSKYAM/PM","09:30am","2022-09-30","1","€129.99","€95.80","TripAdvisor Experiences/Viator - EUR"
"#133716475","BCNSKYAM/PM","09:30am","2022-09-30","24","€3,119.76","€2,370.96","GetYourGuide - EUR"
"#141333021","BCNEBIAM/PM","10:00am","2022-09-30","2","€119.98","€88.42","TripAdvisor Experiences/Viator - EUR"
"#140981861","BCNEBIAM/PM","10:00am","2022-09-30","2","€119.98","€88.42","TripAdvisor Experiences/Viator - EUR"
"#138583641","BCNEBIAM/PM","10:00am","2022-09-30","4","€239.96","€176.84","TripAdvisor Experiences/Viator - EUR"
"#136542099","BCNEBIAM/PM","10:00am","2022-09-30","2","€119.98","€0.00","Shore Excursions Group (EURO)"
"#141238866","BCNALEFD","10:00am","2022-09-30","4","€347.96","€260.96","GetYourGuide - EUR"
"#140771945","BCNALEFD","10:00am","2022-09-30","2","€173.98","€128.22","TripAdvisor Experiences/Viator - EUR"
"#139482873","BCNALEFD","10:00am","2022-09-30","2","€173.98","€128.22","TripAdvisor Experiences/Viator - EUR"
"#141311942","BCNALESA/PM","10:00am","2022-09-30","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#141205467","BCNALESA/PM","10:00am","2022-09-30","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#140511559","BCNALESA/PM","10:00am","2022-09-30","4","€479.96","€340.76","TripAdvisor Experiences/Viator - EUR"
"#131529785","BCNALESA/PM","10:00am","2022-09-30","4","€479.96","€364.76","GetYourGuide - EUR"
"#129272500","BCNALESA/PM","10:00am","2022-09-30","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#141308874","BCNMOOIL","10:45am","2022-09-30","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#141299665","BCNMOOIL","10:45am","2022-09-30","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#141297623","BCNMOOIL","10:45am","2022-09-30","1","€84.99","€59.49","GetYourGuide - EUR"
"#141207074","BCNMOOIL","10:45am","2022-09-30","3","€254.97","€178.47","GetYourGuide - EUR"
"#141204715","BCNMOOIL","10:45am","2022-09-30","1","€84.99","€59.49","GetYourGuide - EUR"
"#140053311","BCNMOOIL","10:45am","2022-09-30","2","€169.98","€118.98","GetYourGuide - EUR"
"#139257069","BCNMOOIL","10:45am","2022-09-30","2","€169.98","€118.98","GetYourGuide - EUR"
"#139257018","BCNMOOIL","10:45am","2022-09-30","2","€169.98","€118.98","GetYourGuide - EUR"
"#138603409","BCNMOOIL","10:45am","2022-09-30","4","€299.96","€221.04","TripAdvisor Experiences/Viator - EUR"
"#137257282","BCNMOOIL","10:45am","2022-09-30","4","€339.96","€237.96","GetYourGuide - EUR"
"#137124820","BCNMOOIL","10:45am","2022-09-30","6","€509.94","€356.94","GetYourGuide - EUR"
"#136187953","BCNMOOIL","10:45am","2022-09-30","2","€169.98","€118.98","GetYourGuide - EUR"
"#135613490","BCNMOOIL","10:45am","2022-09-30","3","€202.47","€168.72","Klook - EUR"
"#141020129","BCNHEL06","11:30am","2022-09-30","2","€189.98","€140.00","TripAdvisor Experiences/Viator - EUR"
"#140384931","BCNHEL06","11:30am","2022-09-30","6","€569.94","€420.00","TripAdvisor Experiences/Viator - EUR"
"#138493770","MADSEG2H","02:00pm","2022-09-30","2","€99.98","€74.98","GetYourGuide - EUR"
"#141309070","BCNSKYAM/PM","03:00pm","2022-09-30","1","€129.99","€95.80","TripAdvisor Experiences/Viator - EUR"
"#141308674","BCNSKYAM/PM","03:00pm","2022-09-30","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#141307161","BCNSKYAM/PM","03:00pm","2022-09-30","1","€129.99","€103.99","Airbnb"
"#140868038","BCNSKYAM/PM","03:00pm","2022-09-30","2","€259.98","€197.58","GetYourGuide - EUR"
"#140380500","BCNSKYAM/PM","03:00pm","2022-09-30","4","€519.96","€383.20","TripAdvisor Experiences/Viator - EUR"
"#141233441","TM-BCNGOFTR","03:00pm","2022-09-30","1","€749.50","€674.55","Hotel Nobu"
"#141337243","MADBITES","06:00pm","2022-09-30","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#141093133","MADBITES","06:00pm","2022-09-30","1","€74.99","€56.24","GetYourGuide - EUR"
"#140546747","MADBITES","06:00pm","2022-09-30","2","€149.98","€112.48","GetYourGuide - EUR"
"#137805370","MADBITES","06:00pm","2022-09-30","7","€524.93","€393.68","GetYourGuide - EUR"
"#137448129","BCNBOFLA","06:00pm","2022-09-30","2","€135.98","€106.06","Project Expedition - EUR"
"#133737536","BCNBOFLA","06:00pm","2022-09-30","2","€169.98","€127.48","Activities Bank (HotelBeds)"
"#136218781","OFF","12:00am","2022-10-01","1","€0.00","€0.00",""
"#137955881","TM-BCNESPXX","07:00am","2022-10-01","1","€90.00","€76.50","Tours for You"
"#141408156","LISSICRO","08:00am","2022-10-01","1","€99.99","€73.69","TripAdvisor Experiences/Viator - EUR"
"#134111493","LISSICRO","08:00am","2022-10-01","3","€299.97","€239.97","Airbnb"
"#141397201","MADTRESC","08:00am","2022-10-01","3","€359.97","€265.29","TripAdvisor Experiences/Viator - EUR"
"#141396064","MADTRESC","08:00am","2022-10-01","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#141323266","MADTRESC","08:00am","2022-10-01","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#141307718","MADTRESC","08:00am","2022-10-01","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#141115925","MADTRESC","08:00am","2022-10-01","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#139740925","MADTRESC","08:00am","2022-10-01","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#138146348","MADTRESC","08:00am","2022-10-01","2","€239.98","€167.98","GetYourGuide - EUR"
"#134172900","MADTRESC","08:00am","2022-10-01","2","€239.98","€191.98","CIT Tours"
"#130523052","MADTRESC","08:00am","2022-10-01","3","€359.97","€265.29","TripAdvisor Experiences/Viator - EUR"
"#124836615","MADTRESC","08:00am","2022-10-01","1","€119.99","€83.99","GetYourGuide - EUR"
"#140013524","BCNMOHAM","08:30am","2022-10-01","1","€69.99","€52.49","Civitatis - EUR"
"#134909890","BCNMOHAM","08:30am","2022-10-01","2","€139.98","€97.98","GetYourGuide - EUR"
"#129722079","BCNMOHAM","08:30am","2022-10-01","2","€119.98","€95.98","Portugal Trails"
"#141013811","BCNMORAM/PM","08:30am","2022-10-01","1","€119.99","€95.99","Airbnb"
"#140604380","BCNMORAM/PM","08:30am","2022-10-01","2","€219.98","€171.58","Project Expedition - EUR"
"#140406103","PR-BCNSKYAM/PM","09:00am","2022-10-01","1","€522.00","€397.80","Meine Landausfluege"
"#141198751","LISEBIAM","09:00am","2022-10-01","2","€99.98","€79.98","Airbnb"
"#141197848","LISEBIAM","09:00am","2022-10-01","1","€49.99","€37.49","GetYourGuide - EUR"
"#141191560","LISSKYAM","09:00am","2022-10-01","14","€1,679.86","€1,007.86","TripAdvisor Experiences/Viator - EUR"
"#140930764","LISSKYAM","09:00am","2022-10-01","1","€119.99","€71.99","TripAdvisor Experiences/Viator - EUR"
"#140742135","LISSKYAM","09:00am","2022-10-01","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#132890350","LISSKYAM","09:00am","2022-10-01","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#141364086","BCNPENAM/PM","09:00am","2022-10-01","1","€109.99","€76.99","GetYourGuide - EUR"
"#141304786","BCNPENAM/PM","09:00am","2022-10-01","4","€399.96","€307.96","TripAdvisor Experiences/Viator - EUR"
"#141124787","BCNPENAM/PM","09:00am","2022-10-01","2","€219.98","€153.98","GetYourGuide - EUR"
"#140919945","BCNPENAM/PM","09:00am","2022-10-01","2","€219.98","€153.98","GetYourGuide - EUR"
"#140625361","BCNPENAM/PM","09:00am","2022-10-01","2","€219.98","€197.98","Hotel Kimpton Vividora Barcelona"
"#140473422","BCNPENAM/PM","09:00am","2022-10-01","2","€219.98","€153.98","GetYourGuide - EUR"
"#131679734","BCNPENAM/PM","09:00am","2022-10-01","2","€199.98","€139.98","GetYourGuide - EUR"
"#131253919","MADTOWIN","09:00am","2022-10-01","2","€159.98","€111.98","TripAdvisor Experiences/Viator - EUR"
"#140405994","BCNSKYAM/PM","09:30am","2022-10-01","2","€0.00","€0.00",""
"#139990079","BCNSKYAM/PM","09:30am","2022-10-01","2","€259.98","€197.58","GetYourGuide - EUR"
"#139402324","BCNSKYAM/PM","09:30am","2022-10-01","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#139280235","BCNSKYAM/PM","09:30am","2022-10-01","2","€259.98","€197.58","GetYourGuide - EUR"
"#138227051","BCNSKYAM/PM","09:30am","2022-10-01","3","€389.97","€287.40","TripAdvisor Experiences/Viator - EUR"
"#136771563","BCNSKYAM/PM","09:30am","2022-10-01","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#132585157","BCNSKYAM/PM","09:30am","2022-10-01","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#120866918","BCNSKYAM/PM","09:30am","2022-10-01","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#140323579","BCNEBIAM/PM","10:00am","2022-10-01","5","€299.95","€227.95","GetYourGuide - EUR"
"#140687711","PR-BCNGAUAM/PM","10:00am","2022-10-01","1","€640.00","€561.62","Hotel Gran Hotel Central"
"#141330210","BCNALESA/PM","10:00am","2022-10-01","2","€239.98","€215.98","Hotel W Barcelona"
"#140451373","BCNALESA/PM","10:00am","2022-10-01","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#138686978","BCNALESA/PM","10:00am","2022-10-01","5","€599.95","€425.95","TripAdvisor Experiences/Viator - EUR"
"#135143600","BCNALESA/PM","10:00am","2022-10-01","5","€599.95","€425.95","TripAdvisor Experiences/Viator - EUR"
"#134653706","BCNALESA/PM","10:00am","2022-10-01","2","€239.98","€182.38","GetYourGuide - EUR"
"#134481285","BCNALESA/PM","10:00am","2022-10-01","2","€239.98","€182.38","GetYourGuide - EUR"
"#129791434","BCNALESA/PM","10:00am","2022-10-01","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#121711551","BCNALESA/PM","10:00am","2022-10-01","2","€219.98","€167.18","GetYourGuide - EUR"
"#141335878","MADTOLFD","10:00am","2022-10-01","1","€139.99","€97.99","GetYourGuide - EUR"
"#141233936","TM-MADESPXX","10:30am","2022-10-01","1","€477.00","€477.00","Hotel The Madrid Edition"
"#130269918","CORSPECIAL","10:30am","2022-10-01","1","€0.00","€0.00",""
"#141405920","BCNMOOIL","10:45am","2022-10-01","2","€169.98","€118.98","GetYourGuide - EUR"
"#141343850","BCNMOOIL","10:45am","2022-10-01","2","€169.98","€118.98","GetYourGuide - EUR"
"#141136341","BCNMOOIL","10:45am","2022-10-01","2","€169.98","€127.48","Civitatis - EUR"
"#141092028","BCNMOOIL","10:45am","2022-10-01","2","€169.98","€118.98","GetYourGuide - EUR"
"#141086229","BCNMOOIL","10:45am","2022-10-01","2","€169.98","€125.26","TripAdvisor Experiences/Viator - EUR"
"#140970872","BCNMOOIL","10:45am","2022-10-01","2","€169.98","€125.26","TripAdvisor Experiences/Viator - EUR"
"#139809281","BCNMOOIL","10:45am","2022-10-01","4","€339.96","€237.96","GetYourGuide - EUR"
"#138512391","BCNMOOIL","10:45am","2022-10-01","2","€169.98","€118.98","GetYourGuide - EUR"
"#132167173","BCNMOOIL","10:45am","2022-10-01","2","€169.98","€127.48","Civitatis - EUR"
"#131710847","BCNMOOIL","10:45am","2022-10-01","2","€169.98","€125.26","TripAdvisor Experiences/Viator - EUR"
"#125412987","BCNMOOIL","10:45am","2022-10-01","2","€169.98","€118.98","GetYourGuide - EUR"
"#140912283","MADEBIAM/PM","11:00am","2022-10-01","3","€119.97","€89.97","GetYourGuide - EUR"
"#141307454","BCNHEL06","11:30am","2022-10-01","2","€189.98","€140.00","TripAdvisor Experiences/Viator - EUR"
"#141106449","BCNHEL06","11:30am","2022-10-01","1","€94.99","€70.00","TripAdvisor Experiences/Viator - EUR"
"#140929580","BCNSKYAM/PM","03:00pm","2022-10-01","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#140900731","BCNSKYAM/PM","03:00pm","2022-10-01","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#140218924","BCNSKYAM/PM","03:00pm","2022-10-01","2","€259.98","€197.58","GetYourGuide - EUR"
"#139360460","BCNSKYAM/PM","03:00pm","2022-10-01","2","€259.98","€197.58","GetYourGuide - EUR"
"#139326815","BCNSKYAM/PM","03:00pm","2022-10-01","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#138801546","PR-BCNGOUTP","05:00pm","2022-10-01","1","€330.00","€256.00","Shore Excursions Group (EURO)"
"#140631728","BCNLUIPM","05:30pm","2022-10-01","2","€130.00","€97.50","GetYourGuide - EUR"
"#141107861","MADBITES","06:00pm","2022-10-01","2","€149.98","€110.54","TripAdvisor Experiences/Viator - EUR"
"#141002454","MADBITES","06:00pm","2022-10-01","2","€149.98","€112.48","GetYourGuide - EUR"
"#140171976","MADBITES","06:00pm","2022-10-01","1","€74.99","€59.99","Airbnb"
"#135125292","MADBITES","06:00pm","2022-10-01","9","€674.91","€497.34","TripAdvisor Experiences/Viator - EUR"
"#125432098","MADBITES","06:00pm","2022-10-01","2","€149.98","€112.48","GetYourGuide - EUR"
"#140022388","BCNBOFLA","06:00pm","2022-10-01","2","€169.98","€127.48","Activities Bank (HotelBeds)"
"#139920407","BCNBOFLA","06:00pm","2022-10-01","2","€169.98","€125.44","TripAdvisor Experiences/Viator - EUR"
"#130286305","BCNBOFLA","06:00pm","2022-10-01","2","€169.98","€127.48","Activities Bank (HotelBeds)"
"#140378817","OFF","12:00am","2022-10-02","1","€0.00","€0.00",""
"#138911530","TM-BCNESPXX","07:00am","2022-10-02","1","€90.00","€76.50","Tours for You"
"#139771510","LISSICAS","08:00am","2022-10-02","1","€69.99","€52.49","GetYourGuide - EUR"
"#141408369","LISSICAS","08:00am","2022-10-02","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#141101805","MADVALLE","08:00am","2022-10-02","1","€99.99","€74.99","GetYourGuide - EUR"
"#140374217","MADVALLE","08:00am","2022-10-02","3","€299.97","€239.97","Airbnb"
"#140609918","MADTRESC","08:00am","2022-10-02","2","€239.98","€191.98","Airbnb"
"#137305298","MADTRESC","08:00am","2022-10-02","3","€359.97","€265.29","TripAdvisor Experiences/Viator - EUR"
"#141340639","LISTRESC","08:00am","2022-10-02","1","€99.99","€74.99","GetYourGuide - EUR"
"#141295565","LISTRESC","08:00am","2022-10-02","1","€99.99","€74.99","GetYourGuide - EUR"
"#140931142","LISTRESC","08:00am","2022-10-02","4","€399.96","€293.16","TripAdvisor Experiences/Viator - EUR"
